wellname	depth	rop	wob	rpm	torque	spp	flwpmps
TestWell #1	1880	1.08	12.90	143	6429	2034	588
TestWell #1	1885	0.09	12.90	136	5819	2043	591
TestWell #1	1890	0.10	12.90	129	5799	2037	590
TestWell #1	1895	0.20	14.00	116	5738	2024	591
TestWell #1	1900	0.20	13.80	169	5682	2029	591
TestWell #1	1905	0.35	13.10	162	5625	2030	592
TestWell #1	1910	0.20	12.10	148	5543	2025	588
TestWell #1	1915	0.11	13.70	117	5356	1861	565
TestWell #1	1920	0.09	13.60	119	5352	1853	564
TestWell #1	1925	0.07	14.00	112	5342	1865	563
TestWell #1	1930	0.07	15.10	107	5337	1877	563
TestWell #1	1935	0.07	16.00	149	5344	1880	563
TestWell #1	1940	0.10	14.70	146	5346	1864	566
TestWell #1	1945	0.10	13.60	101	5330	1933	572
TestWell #1	1950	0.07	13.50	156	5286	1989	583
TestWell #1	1955	0.11	13.50	161	5317	1997	584
TestWell #1	1960	0.12	13.50	160	5299	1987	584
TestWell #1	1965	0.12	13.50	156	5278	1994	585
TestWell #1	1970	0.13	13.50	147	5277	1992	585
TestWell #1	1975	0.20	13.50	106	5306	1995	586
TestWell #1	1980	0.10	13.50	146	5376	1988	581
TestWell #1	1985	0.08	13.70	159	5372	2009	581
TestWell #1	1990	0.11	13.60	157	5371	2000	582
TestWell #1	1995	0.12	14.00	158	5374	1999	582
TestWell #1	2000	0.16	14.00	160	5395	1994	582
TestWell #1	2005	0.20	13.50	146	5481	1996	581
TestWell #1	2010	0.18	13.50	122	5225	1937	571
TestWell #1	2015	0.19	13.50	163	5189	1940	570
TestWell #1	2020	0.17	13.50	153	5170	1935	572
TestWell #1	2025	0.22	13.50	153	5165	1927	572
TestWell #1	2030	0.19	13.50	153	5149	1937	572
TestWell #1	2035	0.20	13.50	141	5119	1831	551
TestWell #1	2040	0.23	13.50	133	5014	1857	342
TestWell #1	2045	0.21	13.50	139	5009	1875	344
TestWell #1	2050	0.20	13.50	129	5016	1864	422
